pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
HD 80869 b,1752.92067,0.142,203.2,12.8,1609.80088146,0.924,5837.0,0.17,0,0.38893867,0.142,0,0.7676128775882719,51.80000000000001,G,True,False,False,False,0.2864
TOI-2141 d,60.45,9.8,491.4,3.97,14.9,0.00792,5635.0,-0.14,0,,9.8,0,0.2381303488131751,236.39999999999998,G,True,False,False,False,0.4663
Kepler-862 b,3.148664534,547.293,1097.0,2.21,5.52,0.0,5333.0,0.04,0,0.24695028,547.293,0,0.511401805155727,842.0,G,True,False,False,False,0.2524
TOI-5350 b,7.581367,321.879,1195.0,12.41955062,2094.48920213,0.0165,6220.0,0.044,0,,321.879,0,1.0933531989894751,940.0,F,False,False,False,False,0.1041
Kepler-138 c,13.7815,6.8,410.0,1.51,2.3,0.017,3841.0,-0.18,0,0.45930988,6.8,0,0.6680315810477697,155.0,M,False,False,False,True,0.6762
Kepler-1001 b,14.30511983,40.853,693.0,3.15,10.1,0.0,5491.0,-0.03,0,0.23318696,40.853,0,0.32313924982103365,438.0,G,True,False,False,False,0.3717
TIC 294329732 b,9.7565876181,82.20822000000001,782.47,2.07692266,4.97,0.0358,5201.93,0.228,0,,82.20822000000001,0,0.5547475778957112,527.47,K,False,False,True,False,0.3647
TOI-1814 b,6.36861010462,216.0619,977.83,5.18536642,23.5,0.0,4872.84,-0.07794,0,,216.0619,0,0.16855029212841738,722.83,K,False,False,True,False,0.2332
Kepler-1059 b,3.764191048,174.074,908.0,1.73,3.64,0.0,4906.0,-0.15,0,0.27693009,174.074,0,0.7030125439455267,653.0,K,False,False,True,False,0.3289
HD 86728 b,31.1515,37.1828,687.36,3.03,9.43,0.067,5610.0,0.2,0,,37.1828,0,0.33898759610954404,432.36,G,True,False,False,False,0.3803
Kepler-518 b,8.512035877,133.317,839.0,2.11,5.1,0.0,5842.0,-0.23,0,0.25883584,133.317,0,0.5429037109171869,584.0,G,True,False,False,False,0.3356
Kepler-28 b,5.91,62.577,585.0,1.959,1.63,0.0,4499.3,0.1451,0,0.21343655,62.577,0,0.21681248963281316,330.0,K,False,False,True,False,0.4855
